Date,BTC,ETH,BNB,XRP,ADA,CRIX
2021-01-03,32782.023438,975.50769,41.148979,0.225848,0.204995,2166.0924999999997
2021-01-04,31971.914063,1040.233032,40.926353,0.236677,0.224762,2221.86
2021-01-05,33992.429688,1100.006104,41.7346,0.22675,0.258314,2401.32
2021-01-06,36824.363281,1207.112183,42.165955,0.250895,0.331898,2575.21
2021-01-07,39371.042969,1225.678101,43.44949,0.326002,0.29998,2765.6
2021-01-08,40797.609375,1224.197144,42.395317,0.32323,0.305597,2695.76
2021-01-09,40254.546875,1281.077271,43.932854,0.326916,0.332973,2520.82
2021-01-10,38356.441406,1262.246704,42.448475,0.318336,0.304895,2433.3500000000004
2021-01-11,35566.65625,1090.145386,38.371361,0.288905,0.275466,2345.88
2021-01-12,33922.960938,1043.43457,38.11161,0.292123,0.287003,2416.99
2021-01-13,37316.359375,1130.73938,40.135933,0.30558,0.313609,2553.19
2021-01-14,39187.328125,1218.453003,41.793682,0.295438,0.310396,2761.96
2021-01-15,36825.367188,1171.834595,40.91898,0.280406,0.30253,2530.08
2021-01-16,36178.140625,1233.537598,43.171825,0.280188,0.352444,2572.505
2021-01-17,35791.277344,1230.172241,45.684612,0.277384,0.379852,2593.7174999999997
2021-01-18,36630.074219,1257.279541,45.353172,0.284769,0.371428,2614.93
2021-01-19,36069.804688,1377.295898,42.785534,0.294314,0.369137,2691.19
2021-01-20,35547.75,1382.274048,42.606899,0.296518,0.375394,2596.51
2021-01-21,30825.699219,1121.570923,38.64584,0.268946,0.310209,2358.2
2021-01-22,33005.761719,1236.512207,40.857571,0.272799,0.349577,2479.68
2021-01-23,32067.642578,1230.990601,40.815479,0.271821,0.345643,2494.705
2021-01-24,32289.378906,1391.609375,41.881607,0.273509,0.353881,2502.2174999999997
2021-01-25,32366.392578,1324.414795,41.623703,0.269089,0.343886,2509.73
2021-01-26,32569.849609,1357.058105,41.694736,0.268827,0.344234,2422.26
2021-01-27,30432.546875,1253.187134,40.994877,0.251943,0.31308,2375.42
2021-01-28,33466.097656,1332.492188,42.529106,0.264122,0.346129,2454.03
2021-01-29,34316.386719,1382.522827,42.852348,0.282188,0.348131,2564.23
2021-01-30,34269.523438,1376.115479,44.772278,0.440244,0.362619,2551.66
